system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Myron\Shifter\Shifter\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00063] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00081] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00857] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.02501] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.02511] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.02635] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.02795] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02801] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02803] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02805] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02807] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02809] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02811] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02813] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02815] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02817] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02819] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02821] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02823] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02825] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02827] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02829] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02831] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02833] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02835] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02837] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02839] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02841] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02843] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02845] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02847] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02849] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02851] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02853] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02855] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02861] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02864] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02866] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02868] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02878] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02880] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02882] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02884] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02887] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02889] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02891] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02893] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02895] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02897] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02899] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02901] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02903] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02905] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02908] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02910] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02912] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02914] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02916] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02918] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02920] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02922] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02924] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02927] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02929] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02931] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02933] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02935] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02937] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02939] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02941] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02943] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02945] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02947] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02950] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02952] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02954] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02956] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02958] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02960] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02962] Score is : 769
